feature,mean_abs_shap
r_t,10.69995931275714
sigma_t,5.658225849107509
bsm_price,5.304591106258556
rate_mom_21d_t,1.5051354509187371
s_t,1.3860655238709847
moneyness_t,0.9219920209795479
sigma_63d_t,0.9214045695095497
ret_21d_t,0.7870163888014383
sentiment_proxy,0.7144622516561164
vix_t,0.4401288629353619
sigma_21d_t,0.4228874999284184
vix_ret_5d_t,0.3765998373960671
ret_5d_t,0.3758437405871275
vix_ret_21d_t,0.3333422153902851
