moneyness_bucket,n_samples,vix_t_mean_abs_shap,sentiment_proxy_mean_abs_shap
OTM,1163,0.6035585023842353,0.6423787772088139
ATM,137,0.3268349785555965,0.7509601192492326
ITM,8,0.7988050837763839,0.4950427544140798
